district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
KHAMMAM,JULURPAD,JULURPAD,548,382.0,3.0,930.0,930.0,41.075268817204304,58.924731182795696,275
KHAMMAM,JULURPAD,KAKARLA,653,488.0,1.0,1141.0,1141.0,42.76950043821209,57.23049956178791,194
KHAMMAM,JULURPAD,KARIVARIGUDEM,312,202.0,2.0,514.0,514.0,39.29961089494164,60.70038910505836,430
KHAMMAM,JULURPAD,KOMMUGUDEM,365,216.0,1.0,581.0,581.0,37.177280550774526,62.822719449225474,400
KHAMMAM,JULURPAD,MACHINENIPETA,405,287.0,2.4959349593495936,692.0,692.0,41.47398843930636,58.52601156069365,359
KHAMMAM,JULURPAD,MACHINENIPETA  THANDA,417,276.0,1.0,693.0,693.0,39.82683982683983,60.17316017316018,358
KHAMMAM,JULURPAD,PADAMATA NARSAPURAM,561,359.0,2.0,920.0,920.0,39.02173913043478,60.97826086956522,279
KHAMMAM,JULURPAD,PAPAKOLLU,1463,1012.0,4.0,2475.0,2475.0,40.88888888888889,59.111111111111114,24
KHAMMAM,JULURPAD,VINOBHA NAGAR,207,132.0,2.4959349593495936,339.0,339.0,38.93805309734513,61.06194690265486,494
KHAMMAM,KALLUR,BATHULAPALLY,381,254.0,2.4959349593495936,635.0,635.0,40.0,60.0,376
KHAMMAM,KALLUR,CHANDRUPATLA,756,539.0,2.4959349593495936,1295.0,1295.0,41.62162162162162,58.37837837837838,159
KHAMMAM,KALLUR,CHENNURU,1222,906.0,1.0,2128.0,2128.0,42.57518796992481,57.42481203007519,42
KHAMMAM,KALLUR,CHINNA KORUKONDI,1078,723.0,5.0,1801.0,1801.0,40.144364242087725,59.855635757912275,71
KHAMMAM,KALLUR,GOKAVARAM,258,182.0,2.0,440.0,440.0,41.36363636363637,58.63636363636363,463
KHAMMAM,KALLUR,KALLURU,515,350.0,2.4959349593495936,865.0,865.0,40.46242774566474,59.53757225433526,299
